# b'S_10_45_M'
# q I errors
1.870998193841204305e-02 1.400685191154479980e+00 2.585880458354949951e-03
1.882235417352175894e-02 1.383818149566650391e+00 2.559443935751914978e-03
1.893472640863147483e-02 1.373179197311401367e+00 2.545605646446347237e-03
1.904709864374119072e-02 1.360997438430786133e+00 2.529807155951857567e-03
1.915947087885090314e-02 1.347709298133850098e+00 2.506042132154107094e-03
1.927184311396061903e-02 1.342939853668212891e+00 2.500475151464343071e-03
1.938421534907033145e-02 1.331304669380187988e+00 2.537443768233060837e-03
1.949658758418004734e-02 1.311625719070434570e+00 2.553112339228391647e-03
1.960895981928976323e-02 1.302558183670043945e+00 2.575660124421119690e-03
1.972133205439947912e-02 1.282007932662963867e+00 2.567155286669731140e-03
1.983370428950919154e-02 1.268464803695678711e+00 2.554113510996103287e-03
1.994607652461890743e-02 1.262293457984924316e+00 2.555951941758394241e-03
2.005844875972861985e-02 1.244766354560852051e+00 2.538956701755523682e-03
2.017082099483833574e-02 1.238583326339721680e+00 2.531335456296801567e-03
2.028319322994805163e-02 1.222966670989990234e+00 2.522129332646727562e-03
2.039556546505776405e-02 1.215110898017883301e+00 2.513163955882191658e-03
2.050793770016747994e-02 1.199300050735473633e+00 2.493611536920070648e-03
2.062030993527719236e-02 1.190213322639465332e+00 2.485575852915644646e-03
2.073268217038690825e-02 1.178084969520568848e+00 2.471645362675189972e-03
2.084505440549662414e-02 1.165585517883300781e+00 2.456161193549633026e-03
2.095742664060634003e-02 1.153643488883972168e+00 2.448051236569881439e-03
2.106979887571605245e-02 1.147615790367126465e+00 2.439024159684777260e-03
2.118217111082576834e-02 1.145331144332885742e+00 2.393793547526001930e-03
2.129454334593548076e-02 1.136641144752502441e+00 2.333459211513400078e-03
2.140691558104519665e-02 1.121082425117492676e+00 2.288257936015725136e-03
2.151928781615491254e-02 1.106639146804809570e+00 2.246563322842121124e-03
2.163166005126462843e-02 1.099567055702209473e+00 2.232898026704788208e-03
2.174403228637434085e-02 1.090069770812988281e+00 2.215031301602721214e-03
2.185640452148405674e-02 1.076660156250000000e+00 2.183777512982487679e-03
2.196877675659376916e-02 1.063849925994873047e+00 2.168521750718355179e-03
2.208114899170348505e-02 1.053457498550415039e+00 2.151884138584136963e-03
2.219352122681320094e-02 1.048246622085571289e+00 2.132063033059239388e-03
2.230589346192291683e-02 1.039300799369812012e+00 2.120059216395020485e-03
2.241826569703262925e-02 1.028829574584960938e+00 2.106290077790617943e-03
2.253063793214234514e-02 1.026008605957031250e+00 2.092934679239988327e-03
2.264301016725205756e-02 1.010701417922973633e+00 2.070685615763068199e-03
2.275538240236177345e-02 1.005433559417724609e+00 2.062475075945258141e-03
2.286775463747148934e-02 9.950693845748901367e-01 2.040489809587597847e-03
2.298012687258120523e-02 9.888388514518737793e-01 2.031525364145636559e-03
2.309249910769091765e-02 9.777448177337646484e-01 2.017225371673703194e-03
2.320487134280063354e-02 9.712995886802673340e-01 1.998329302296042442e-03
2.331724357791034596e-02 9.681155681610107422e-01 1.991268945857882500e-03
2.342961581302006185e-02 9.526374340057373047e-01 1.973319798707962036e-03
2.354198804812977774e-02 9.469820857048034668e-01 1.957681728526949883e-03
2.365436028323949363e-02 9.358311295509338379e-01 1.941408379934728146e-03
2.376673251834920605e-02 9.336539506912231445e-01 1.937501947395503521e-03
2.387910475345892194e-02 9.264345765113830566e-01 1.923611853271722794e-03
2.399147698856863437e-02 9.176973700523376465e-01 1.908163190819323063e-03
2.410384922367835026e-02 9.102298617362976074e-01 1.900262548588216305e-03
2.421622145878806615e-02 9.045587182044982910e-01 1.886176411062479019e-03
2.432859369389778204e-02 8.971616029739379883e-01 1.870974549092352390e-03
2.444096592900749446e-02 8.872327804565429688e-01 1.861918019130825996e-03
2.455333816411721035e-02 8.776277303695678711e-01 1.845213002525269985e-03
2.466571039922692277e-02 8.722867369651794434e-01 1.833425252698361874e-03
2.477808263433663866e-02 8.644052147865295410e-01 1.823217142373323441e-03
2.489045486944635455e-02 8.559237718582153320e-01 1.806388958357274532e-03
2.500282710455607044e-02 8.541337251663208008e-01 1.799296587705612183e-03
2.511519933966578286e-02 8.480398654937744141e-01 1.792586524970829487e-03
